11600, E7
11750, A4
14000, F3#
16000, F4#
16150, A5#
17750, F3#
18800, G2
18950, D3
19750, F4#
20050, D3#
20450, D3
20850, C3#
21850, A5
22150, G2
22300, A2
22800, F3
24200, F3#
25750, G5
27200, F3
28600, F3#
29750, C3#
30300, F4#
30750, F3
31300, D3
32800, D4
33150, G5#
33350, G2
33500, D3
34100, D3#
34450, F3
34950, F3
35450, F3
35650, G5#
36100, F5#
37150, F3
37600, E4
37850, D3#
38000, F3#
38750, A2#
38950, A7#
39200, A5#
39600, C3#
41100, F3#
43300, D3
44400, C3#
45850, A5#
46100, D3
46300, A5
46950, C5#
47800, F4#
48250, G3
50600, A5#
51150, C3#
51300, F3#
52050, A3
52850, C3#
53350, A4
55700, A4#
56350, G3
56850, A5#
57050, C3#
57650, F3#
58300, C5
58800, C4#
59000, D3#
60000, F3#
60200, F3
60850, C3#
62100, D3
62300, B5
62700, F5#
62950, F3#
63550, A4
66200, A5#
66450, A4
66650, E5
66950, E5
67650, F3
67950, F3#
68250, B5
68500, F3
70550, A5#
70850, C3
71400, B7
71550, G3
72050, F4#
72400, C3#
73400, A4
73700, C6#
73950, C3#
74750, B4
75900, C4
77150, D5
77300, D5#
81800, D4
88400, D5
89600, F4#
91450, D#2
91650, A4
91950, F4#
92250, G5
92850, G3#
93200, D8
93450, G6
93800, C3#
94150, F3#
94950, G5
95150, D3
95650, D4
96000, A4
96500, A3
97600, F5#
98050, B5
98650, D5
98800, F4
99450, F4
99600, G5
100100, D3
101300, C8#
101450, F3#
101650, A5
101850, A4
102350, G3#
102650, F5
103050, F4#
103550, F4#
105000, C4#
105500, A3
105850, E4
109150, C6
109500, A3#
110100, A5#
111500, F5#
111950, A4#
112100, F4
112700, B5
113050, A5
113350, F3#
113500, F5#
114550, F5#
115550, E4
117850, A4#
118500, D5
121050, E5
121800, B4
122300, A4#
123000, F4#
123500, A4
125050, C3#
125300, A5
125900, G5#
126300, A4
126450, F4
127250, A4#
128000, D3#
128450, A4
130300, D4
130800, D5#
131400, A4#
132050, D5
132700, G3#
133300, C5#
133950, F3
134750, A5
135050, D4#
135200, F3#
135500, G7#
135800, G6#
137050, G5
137250, B5
137700, F3#
137900, F3
138450, C4
140250, C3
140700, F7
140900, C4#
141600, A4
142000, C4
142250, B4
142900, B5
143500, F5
145800, D5
146500, G4#
147400, F3
148350, G5#
148650, A5
148950, F4#
150800, A5
151350, C3#
152350, E4
154800, G4
162400, F4#
163300, C4#
164600, F5#
165250, E4
165900, A5#
167750, F5#
169800, G4
177000, D4
177200, D5
179550, F5#
180200, E4
181400, D3#
182300, C5#
183000, A5
183350, A3
183500, F3#
185200, C3#
186150, A#1
186300, C3#
186500, F4#
187250, F5
187750, G4
188050, C3#
188500, A4
190250, G5#
190800, E5
191450, F3#
192100, D3
192450, A3#
192700, D3#
193450, D3
193700, A3
194100, F3#
195000, F3
195250, F3#
195600, G6
195900, G6
197300, G5#
197500, D#0
198300, F5
199400, D5#
199700, A5#
201150, B4
201900, E5
211500, C6
212050, C3#
212750, A5
214850, F4#
215400, F5#
223300, F5
227050, D6#
227250, A7#
227700, A5
229700, F8
230200, E5
230550, Beyond B8
